numero_manuscrito,tipo_articulo,titulo,autor,fecha_inicial,fecha_estado,estado_actual,editor,estado_evaluacion,decision_editor,data_identity
NEFRO-D-23-00014,Original,Un nuevo parámetro diagnóstico para diferenciar la pielonefritis de la cistitis en pacientes pediátricos: recuento de granulocitos inmaduros - A Novel Diagnostic Parameter to Differentiate Pyelonephritis from Cystitis in Pediatric Patients: Immature Granulocyte Count,"Mehmet Ali Narsat, MD",12/01/2023,12/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16089
NEFRO-D-23-00011,Original,"RELATIONSHIP BETWEEN U-MMP7 AND PROGNOSIS, COMORBIDITY AND MORTALITY IN AKI",Fadime Altinbas,11/01/2023,12/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16083
NEFRO-D-23-00010,Original,The Association of Vitamin D Supplementation in case of need on Chronic Kidney Disease Progression,"Ilhan Kilic, M.D.",09/01/2023,14/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16081
NEFRO-D-23-00009,Notas técnicas,"Actualización en el tratamiento con fluidos de reanimación: suero salino, soluciones balanceadas y Thomas Bayes. - Update in the treatment with resuscitation fluids: saline serum, balanced solutions and Thomas Bayes.","Alejandro Gonzalez-Castro, Ph.D, M.D.",09/01/2023,14/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16082
NEFRO-D-23-00008,Original,Correlation of Luminex-based single-antigen-based results with CDC-XM and FC-XM results,"Suleyman Rustu Rustu Oguz, MD PhD",06/01/2023,14/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16079
NEFRO-D-23-00007,Original,Monitoreo Ambulatorio de presión arterial en pacientes pediátricos con Anemia de Células Falciformes en una ciudad del Caribe Colombiano.,"Gustavo Adolfo Guerrero-Tinoco, Nefrólogo pediatra",05/01/2023,10/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16080
NEFRO-D-23-00006,Original,Therapeutic adherence in kidney transplanted adolescents,Ana Barbosa Rodrigues,04/01/2023,14/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16078
NEFRO-D-23-00005,Revisiones cortas,ANEMIA RENAL: TRATAMIENTOS ACTUALES Y MOLÉCULAS EMERGENTES - RENAL ANEMIA: CURRENT TREATMENTS AND EMERGING MOLECULES,"MANUEL HERAS BENITO, M.D",04/01/2023,14/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16077
NEFRO-D-23-00004,Revisiones cortas,SÍNDROME DE CASCANUECES POSTERIOR: REPORTE DE UN CASO EN PEDIATRÍA Y REVISIÓN DE LA LITERATURA,"Lina María Serna-Higuita, Nefróloga Pediatra, Msc Epidemiologia",04/01/2023,10/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16076
NEFRO-D-23-00003,Imágenes,FÍSTULA PLEUROPERITONEAL EN PACIENTE CON DIÁLISIS PERITONEAL: reporte de un caso. - PLEUROPERITONEAL FISTULA IN A PATIENT WITH PERITONEAL DIALYSIS: A case report.,Maria Jose Bastianello,02/01/2023,10/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16066
NEFRO-D-23-00001R1,Cartas al editor,Uso compasivo de Tolvaptan en megacolon adquirido secundario a poliquistosis renal autosómica dominante (PQRAD),Iris Viejo Boyano,31/12/2022,12/01/2023,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,16069
NEFRO-D-22-00458,Original,Creatinina y Cistatina C: ¿marcadores de mal pronóstico en pacientes críticos con COVID-19? - Creatinine and Cystatin C: -  markers of poor outcome in critically ill COVID-19 patients?,Duarte André Ferreira,30/12/2022,10/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16071
NEFRO-D-22-00457,Cartas al editor,Dying with end stage kidney disease: factors associated with place of death on a palliative care program,"Ana Cunha Rodrigues, M.D.",30/12/2022,14/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16070
NEFRO-D-22-00456,Revisiones cortas,"Raquitismo Hipofosfatemico Ligado al Cromosoma X, a propósito de un caso - X-Linked Hypophosphatemia, case report","Lina María Serna-Higuita, Nefróloga Pediatra, Msc Epidemiologia",28/12/2022,03/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16062
NEFRO-D-22-00453,Imágenes,Abdominal wall calcifications in a peritoneal dialysis patient,Ram R,22/12/2022,31/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16056
NEFRO-D-22-00452,Casos Clinicos,Título en español - :Un caso de cistitis relacionada con la inmunidad causada por UN inhibidor del punto de control inmune&#8203; - English title:Immune-related cystitis due to immune checkpoint inhibitors: a case report,"Zhu Ping, M.D",22/12/2022,31/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16054
NEFRO-D-22-00451,Original,A case report of uremia complicated with calciphylaxis : amputation and ischemic bowel disease,"Ting Wang, M Med",22/12/2022,31/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15969
NEFRO-D-22-00450,Cartas al editor,Response to SARS-CoV-2 vaccination in the CKD spectrum.: correspondence,rujittika mungmunpuntipantip,21/12/2022,31/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16055
NEFRO-D-22-00449,Casos Clinicos,An Unusual Glomerulopathy in a 75-Year-Old Man Following SARS CoV-2 (ChAdOx1-nCoV-19-adenovirus-vector) Vaccine.,"Tajamul H Mir, MD.DM (nephrology)",20/12/2022,01/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16051
NEFRO-D-22-00446,Casos Clinicos,Unpredictable positive HIV test: Case Report,Najat I Joubran,20/12/2022,31/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16050
NEFRO-D-22-00445,Cartas al editor,PLAQUETOPENIA POST HEMODIÁLISIS. ¿Y SI NO ES LA HEPARINA? - PLAQUETOPENIA POST HEMODIALYSIS. WHAT IF IS NOT ASSOCIATED TO THE HEPARIN?,LEONIDAS CRUZADO,15/12/2022,02/01/2023,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16047
NEFRO-D-22-00443,Original breve,TITULO: Pseudohipoaldosternismo secundario. Revisión de la experiencia de la Unidad de Nefrología Infantil en un hospital terciario.,Amelia Moreno Sánchez,14/12/2022,31/12/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,16026
NEFRO-D-22-00442R1,Cartas al editor,Targeting colonic BK channels: a novel therapeutic strategy against hyperkalemia in chronic kidney disease,ITSURO KAZAMA,13/12/2022,02/01/2023,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,16039
