data_identity,numero_manuscrito,referencia,revision,titulo,tipo_articulo,autor,email,fecha_inicial,estado_actual,fecha_estado,fecha_vencimiento,editor,decision_editor_def,est_ev_completo,est_ev_aceptado,est_ev_invitado,est_ev_rechazado,est_ev_tarde,año,ref_maquetado,estado,responsable,notas,entrada,revision_1,comentarios_ultimo_revisor,decision_editor_r1,entrada_r1,revision_r1,coment_compl_r1,dec_editor_r1,entrada_r2,revision_r2,coment_compl_r2,dec_editor_r2,entrada_r3,revision_r3,coment_completos_r3,dec_editor_r3,entrada_r4,revision_r4,coment_completos_r4,rechazo,aceptacion,maquetacion,in_press,publicado,publicado_detalles,pmid,etapa_1,etapa_2,etapa_3,etapa_4,etapa_5,etapa_6,maquet_in_press,activo,ultima_accion,dias_pasados,mayor_10_dias,fecha_alta,fecha_baja
,NEFRO-D-19-00380,NEFRO-D-19-00380,,Clinical significance of UbA52 level in the urine of patients with type 2 diabetes mellitus and diabetic kidney disease	,,,,,,,,,,,,,,,2019,,7. Publicado,Elsevier,,2019-11-27,2019-12-27,2020-01-09,2020-02-03,2020-03-05,2020-04-03,2020-04-08,2020-05-18,2020-06-17,2020-06-21,2020-07-06,2020-09-12,2020-09-30,2020-10-03,2020-10-06,2020-11-19,2020-11-25,2020-12-04,2020-12-09,,2021-01-17,,2021-03-26,2021-09-01,"Vol. 41. Núm. 5.

Septiembre - Octubre 2021",web,30,13.0,25.0,31.0,29.0,,,False,2021-03-26,485,False,,
,NEFRO-D-19-00165,NEFRO-D-19-00165,,Digital embolization from a thrombosed aneurysmal hemodialysis arteriovenous fistula,,,,,,,,,,,,,,,2019,,7. Publicado,Elsevier,,2019-05-28,2019-06-02,2019-08-12,2019-09-06,2019-10-11,2019-10-20,2019-12-15,2020-01-02,2020-02-07,2020-02-08,2020-04-07,2020-07-25,2020-08-10,,,2020-08-15,,,,,2020-08-15,,2021-01-19,2021-09-01,"Vol. 41. Núm. 5.

Septiembre - Octubre 2021",web,5,71.0,25.0,35.0,9.0,,,False,2021-01-19,602,False,,
,NEFRO-D-20-00146,NEFRO-D-20-00146,,Resultados del tratamiento endovascular de la estenosis de la anastomosis venosa en las fístulas arteriovenosas protésicas para hemodiálisis de PTFE. Análisis comparativo entre fístulas permeables y trombosadas.   Results of endovascular treatment of venous anastomotic stenosis in prosthetic arteriovenous for hemodialysis PTFE grafts.  Comparative analysis between patent and occluded grafts.,,,,,,,,,,,,,,,2020,NEFRO_922,7. Publicado,Elsevier,Las figuras 1 y 2 pedimos ampliar el texto.,2020-04-30,2020-05-10,2020-07-12,2020-08-10,2020-08-14,2020-08-16,2020-10-04,2020-10-04,2020-10-09,2020-10-12,2020-10-31,2021-03-17,,,,,,,,,2021-03-17,2021-07-25,2021-08-13,2022-07-01,"Vol. 42. Núm. 4.

Julio - Agosto 2022",34391607,10,63.0,29.0,4.0,2.0,130.0,19,False,2021-08-13,470,False,,
,NEFRO-D-20-00048,NEFRO-D-20-00048,,Eficacia y seguridad de un programa de ejercicio físico intradiálisis Impact and safety outcomes of an intradialytic physical exercise program	,,,,,,,,,,,,,,,2020,,7. Publicado,Elsevier,,2020-02-13,2020-04-09,2020-05-07,2020-06-09,2020-07-21,2020-07-25,2020-09-03,2020-09-13,2020-10-09,2020-10-12,2020-11-18,2020-11-19,2020-12-03,,,2020-12-03,,,,,2020-12-03,,2021-12-15,2021-09-01,"Vol. 41. Núm. 5.

Septiembre - Octubre 2021",web,56,28.0,33.0,42.0,4.0,,,False,2021-12-15,671,False,,
,NEFRO-D-20-00351,NEFRO-D-20-00351,,Título: Contribución de fósforo y PTH al desarrollo de hipertrofia y fibrosis cardiaca en un modelo experimental de insuficiencia renal crónica	,,,,,,,,,,,,,,,2020,,7. Publicado,Elsevier,,2020-08-14,2020-08-19,2020-09-24,2020-10-05,2020-11-07,2020-11-09,2020-11-18,2020-11-19,2020-11-23,2020-11-23,2020-11-24,2021-01-31,2021-02-02,,,2021-02-07,,,,,2021-02-07,,,2021-12-01,"Vol. 41. Núm. 6.

Noviembre - Diciembre 2021",,5,36.0,11.0,33.0,2.0,,,False,2021-02-07,177,False,,
,NEFRO-D-20-00125,NEFRO-D-20-00125,,Assessment of Urinary Podocalyxin as an alternative marker for Urinary Albumin Creatinine Ratio in early stage of Diabetic Kidney Disease  in older patients,,,,,,,,,,,,,,,2020, NEFRO_952,7. Publicado,Elsevier,,2020-04-21,2020-05-02,2020-05-04,2020-07-01,2020-08-01,2020-08-11,2020-08-31,2020-11-19,2020-11-25,2020-12-04,2020-12-09,2021-06-03,2021-06-13,2021-06-14,,,,,,,2021-08-01,,2021-09-30,,42(6),web,11,2.0,58.0,31.0,10.0,,,False,2021-09-30,527,False,,
,NEFRO-D-20-00185,NEFRO-D-20-00185,,SOFOSBUVIR-BASED REGIMENS FOR HCV IN STAGE 4 – STAGE 5 CHRONIC KIDNEY DISEASE. A SYSTEMATIC REVIEW WITH META-ANALYSIS,,,,,,,,,,,,,,,2020,NEFRO_879,7. Publicado,Elsevier,"14_01_22 El PMID 34154846 lo tomé de PubMed cuando hice una revisión de los atículos que ya estaban indexados. pero ahora no me devuelve resultados, ni buscando por PMID ni por el título del artículo SOFOSBUVIR-BASED REGIMENS FOR HCV IN STAGE 4 – STAGE 5 CHRONIC KIDNEY DISEASE. A SYSTEMATIC REVIEW WITH META-ANALYSIS
Te dejo aquí las referencias del mismo que tengo: NEFRO-D-20-00185R2 y NEFRO_879 No me había encontrado con esto nunca, perdona mi ignorancia en este tema.

Puede ser que antes estuviera en InPress y ahora al pertenecer a un número de la revista en concreto tengan que volver a indexarlo de nuevo?",2020-05-18,2020-05-23,2020-08-05,2020-08-26,2020-09-01,2020-09-08,2020-10-13,2020-10-17,2020-10-21,2020-11-15,2020-12-15,2021-11-18,,,,,,,,,2021-11-18,2021-06-08,2021-06-19,2021-09-01,"Vol. 41. Núm. 5.

Septiembre - Octubre 2021",34154846,5,74.0,21.0,6.0,7.0,-163.0,11,False,2021-11-18,549,False,,
,NEFRO-D-20-00427,NEFRO-D-20-00427,,Serum sclerostin in Acute kidney injury patients	,,,,,,,,,,,,,,,2020,,7. Publicado,Elsevier,,2020-10-05,2020-10-10,2020-10-23,2020-11-19,2020-11-26,2020-11-29,2020-12-28,2021-01-07,2021-01-07,2021-01-14,2021-01-18,2021-01-26,,,,,,,,,2021-01-26,,2021-05-29,2022-01-01,"Vol. 42. Núm. 1.

Enero - Febrero 2022",,5,13.0,27.0,7.0,3.0,,,False,2021-05-29,236,False,,
,NEFRO-D-20-00090,NEFRO-D-20-00090,,¿SOBREESTIMAMOS LAS NECESIDADES DE LÍQUIDOS? COMPLICACIONES DEL USO DE SUEROS ISOTÓNICOS DE MANTENIMIENTO EN PLANTAS DE HOSPITALIZACIÓN PEDIÁTRICA Do we overestimate intravenous fluid therapy needs? Adverse effects related to isotonic solutions during paediatric hospital admissions.,,,,,,,,,,,,,,,2020,NEFRO_974,7. Publicado,Elsevier,,2020-03-23,2020-07-04,2020-08-31,2020-10-14,2020-10-28,2020-11-15,2021-02-16,2021-02-16,2021-03-22,2021-04-02,2021-06-21,2021-06-21,,,,,,,,,2021-06-21,2021-10-11,2021-10-28,,42(6),web,103,58.0,44.0,14.0,18.0,112.0,17,False,2021-10-28,584,False,,
,NEFRO-D-20-00091,NEFRO-D-20-00091,,"Comparative Efficacy of Three Regimens (Cyclosporine, Tacrolimus, and Cyclophosphamide) Combined with Steroids for Treatment of Idiopathic Membranous Nephropathy",,,,,,,,,,,,,,,2020,NEFRO_954,7. Publicado,Elsevier,,2020-03-23,2020-07-04,2020-07-26,2020-08-10,2021-05-11,2021-05-12,2021-06-18,2021-06-20,2021-07-07,2021-07-13,2021-07-14,2021-07-21,2021-07-28,2021-08-01,,2021-08-01,,,,,2021-08-01,2021-09-12,2021-09-25,,42(6),web,103,22.0,15.0,274.0,1.0,42.0,13,False,2021-09-25,551,False,,
